PROFID,fdnustdlit,dnu_model,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
profile196,0.9800773137113667,73.07609661231118,71.62022446430625,1317.2614915904069,1.9884098706980504e+33,1.525311719013694,8.569002513186268e+33,1.7,0.0    d0
profile59,0.9351135247164127,0.12471069879126975,0.11661866111655113,0.3320662599138523,1.9884098706980504e+33,110.20560713342266,4.9736709461140917e+36,1.7,0.0    d0
profile140,0.9899596265853908,111.54966985016559,110.42966951059356,2307.0400100992506,1.9884098706980504e+33,1.1428569592747366,5.50806990644833e+33,1.7,0.0    d0
profile71,0.9264215556424,0.10513329985470611,0.09739775520121574,0.2638154816622913,1.9884098706980504e+33,124.26526791973437,5.83482539986878e+36,1.7,0.0    d0
profile182,0.9840592460711876,86.06400082532875,84.69207576604308,1629.6296444451386,1.9884098706980504e+33,1.3640193792651087,7.466685123873848e+33,1.7,0.0    d0
profile139,0.9900325408329835,112.00475152975183,110.8883487423672,2319.6914165049207,1.9884098706980504e+33,1.1397032356640335,5.480246257773468e+33,1.7,0.0    d0
profile216,0.998565142636903,33.02345043945494,32.97606649843702,508.59540022569087,1.9884098706980504e+33,2.5580939584936186,1.2459953535810356e+34,1.7,0.0    d0
profile81,0.9186669777415198,0.09205710578972597,0.08456982315547892,0.22030598946600374,1.9884098706980504e+33,136.53335972940764,6.603488392370628e+36,1.7,0.0    d0
profile259,1.0151579479810489,0.5150435376208293,0.5228505407720613,2.2851134953778605,1.9884098706980504e+33,40.531936272141344,1.1937176582225915e+36,1.7,0.0    d0
profile61,0.9336735847921956,0.12074628394791082,0.11273761578398224,0.318006593104024,1.9884098706980504e+33,112.72056618433366,5.12617562502612e+36,1.7,0.0    d0
profile80,0.9195085326254364,0.09342932135517938,0.08590905818349134,0.2247652577867839,1.9884098706980504e+33,135.11070296124686,6.513834561434949e+36,1.7,0.0    d0
profile44,0.9426438417478445,0.16420025373456099,0.15478235799631743,0.47704218938859627,1.9884098706980504e+33,91.25039501289085,3.8511095711836054e+36,1.7,0.0    d0
profile5,1.0298523490921714,0.4281621439898211,0.4409437897802578,1.8336914340555914,1.9884098706980504e+33,45.4074282350729,1.4155982357307223e+36,1.7,0.0    d0
profile164,0.987476726840116,98.64432783417057,97.4089779710301,1954.9357809909131,1.9884098706980504e+33,1.2425572309606048,6.424467800828541e+33,1.7,0.0    d0
profile26,0.9722027032769681,0.23768763359001122,0.2310805599117144,0.7976841016920284,1.9884098706980504e+33,69.85649392040175,2.6532871785757915e+36,1.7,0.0    d0
profile98,0.9919090941844537,128.79978594338397,127.75767900625353,2804.6766238274486,1.9884098706980504e+33,1.037029354776421,4.499763387964366e+33,1.7,0.0    d0
profile113,0.9912150723125015,123.00814402226382,121.92752637205483,2632.475225949675,1.9884098706980504e+33,1.069829453090228,4.830684698306579e+33,1.7,0.0    d0
profile163,0.9876164619569252,99.25827204720125,98.02910345921487,1971.2990873512738,1.9884098706980504e+33,1.237311468402401,6.376759416450699e+33,1.7,0.0    d0
profile149,0.9892198051951958,107.15161211327187,105.99649686104198,2185.4116895272023,1.9884098706980504e+33,1.1745045872369593,5.795549227309096e+33,1.7,0.0    d0
profile41,0.9435458728040527,0.17115062742091622,0.16148846813082962,0.5036786836499536,1.9884098706980504e+33,88.70635120339719,3.7045217310681386e+36,1.7,0.0    d0
profile177,0.9852065763165665,89.89887992457005,88.56896770517977,1726.685263431107,1.9884098706980504e+33,1.3239187621991995,7.137770154085437e+33,1.7,0.0    d0
profile3,0.9953054128044757,159.66490985934982,158.91534901794958,3806.8879958617854,1.9884098706980504e+33,0.8966132684911516,2.994288757397875e+33,1.7,0.0    d0
profile12,1.0319446539493724,0.3300011544676204,0.3405429271499819,1.3139151127684976,1.9884098706980504e+33,53.942923811916096,1.826861060281624e+36,1.7,0.0    d0
profile77,0.9217846293646933,0.09715202631198833,0.08955324456602509,0.23700031938701244,1.9884098706980504e+33,131.42001387123418,6.281656204107172e+36,1.7,0.0    d0
profile236,1.0403377953598787,2.2407435541799363,2.331130209122414,15.8666675927506,1.9884098706980504e+33,14.96251862034575,2.5314834620660653e+35,1.7,0.0    d0
