ID,dnu_syd,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
175,90.96500772417278,90.0366584624893,1763.9179655038668,1.9884098706980504e+33,1.3094918900221666,7.015526736771964e+33,1.7,0.0    d0
14,0.2427112882151404,0.3202313033231964,1.213799039955033,1.9884098706980504e+33,56.20045999340312,1.939966521370653e+36,1.7,0.0    d0
252,0.6167254044810945,0.7352119188460331,3.551262210316601,1.9884098706980504e+33,32.29292367972304,8.448151419647787e+35,1.7,0.0    d0
77,0.0676408508140555,0.089553244566025,0.2370003193870124,1.9884098706980504e+33,131.42001387123418,6.281656204107172e+36,1.7,0.0    d0
129,116.23085494001116,115.27653003369024,2441.8868326621223,1.9884098706980504e+33,1.1105935034867238,5.22096365008227e+33,1.7,0.0    d0
59,0.0954929658551372,0.1166186611165511,0.3320662599138523,1.9884098706980504e+33,110.20560713342266,4.973670946114092e+36,1.7,0.0    d0
18,0.2148591731740587,0.2814849635586516,1.028085862589592,1.9884098706980504e+33,61.24616854047263,2.197792498536865e+36,1.7,0.0    d0
248,0.8554578191189375,0.9203912348974193,4.7504042641160025,1.9884098706980504e+33,27.801447569888754,6.707156548204288e+35,1.7,0.0    d0
181,86.77923272085593,85.49309029818798,1649.526963249265,1.9884098706980504e+33,1.3554860374307791,7.398108681527284e+33,1.7,0.0    d0
26,0.1790493109783822,0.2310805599117144,0.7976841016920284,1.9884098706980504e+33,69.85649392040175,2.6532871785757915e+36,1.7,0.0    d0
130,115.82898870870412,114.84788143107988,2429.831948313826,1.9884098706980504e+33,1.1133551780698032,5.246196641819808e+33,1.7,0.0    d0
90,0.0596831036594607,0.077452186548551,0.1969390429848066,1.9884098706980504e+33,144.77489888873797,7.127978257179454e+36,1.7,0.0    d0
107,124.6899401653454,124.30844945420752,2702.237463129229,1.9884098706980504e+33,1.0561249257512932,4.693799715727115e+33,1.7,0.0    d0
27,0.1750704374010848,0.224189593301838,0.7672597094614124,1.9884098706980504e+33,71.28072245007436,2.730098353437834e+36,1.7,0.0    d0
46,0.1193662073189215,0.1486042473970414,0.4527937018099668,1.9884098706980504e+33,93.7622982045579,3.996946212113368e+36,1.7,0.0    d0
52,0.1074295865870293,0.1320424405163404,0.3892392521669209,1.9884098706980504e+33,101.4471919630714,4.448701586096477e+36,1.7,0.0    d0
65,0.0875352187005424,0.1068882617588264,0.2970818837129163,1.9884098706980504e+33,116.79629037325752,5.374161280858955e+36,1.7,0.0    d0
1,47.95736322716536,49.32529461523352,903.1049083934828,1.9884098706980504e+33,1.9558517526064512,5.404033648388268e+33,1.7,0.0    d0
244,1.0822536130248883,1.1978671845980542,6.684356503819554,1.9884098706980504e+33,23.32258119723519,5.10478325569278e+35,1.7,0.0    d0
194,75.04951341498325,73.76063038337671,1366.7122807326186,1.9884098706980504e+33,1.4956591965047714,8.399490070853999e+33,1.7,0.0    d0
128,116.6287422977409,115.70372361436152,2453.9293643416445,1.9884098706980504e+33,1.107858178992863,5.195793939527403e+33,1.7,0.0    d0
83,0.0636619772367581,0.0836797206517059,0.2173508375203714,1.9884098706980504e+33,137.49985632106262,6.665070854631834e+36,1.7,0.0    d0
15,0.2347535410605456,0.3086981636284124,1.1577929919929713,1.9884098706980504e+33,57.59167302257852,2.0102203990375303e+36,1.7,0.0    d0
37,0.1392605752054084,0.1763240143777063,0.5637396814731122,1.9884098706980504e+33,83.65811644286461,3.4165260636322506e+36,1.7,0.0    d0
16,0.2267957939059508,0.3000064434374431,1.11597456344544,1.9884098706980504e+33,58.698725342161815,2.0667644460208185e+36,1.7,0.0    d0
104,125.78015152552489,125.4743512888051,2736.6821572830327,1.9884098706980504e+33,1.0495724427593007,4.6276230701122886e+33,1.7,0.0    d0
127,117.02662965547064,116.1294272765613,2465.957712862004,1.9884098706980504e+33,1.1051490873253584,5.170702671400968e+33,1.7,0.0    d0
250,0.7719014739956924,0.8224885847305278,4.106382590010581,1.9884098706980504e+33,29.966025132370312,7.530841444886656e+35,1.7,0.0    d0
34,0.1472183223600031,0.188648847878564,0.6147678389949043,1.9884098706980504e+33,79.97353392861366,3.209146880229663e+36,1.7,0.0    d0
239,1.6950001439286853,1.7831253680921253,11.20248633871032,1.9884098706980504e+33,17.889346378031323,3.361156458837035e+35,1.7,0.0    d0
47,0.1193662073189215,0.1451206047572723,0.4392528048835607,1.9884098706980504e+33,95.25687701960696,4.08377344243301e+36,1.7,0.0    d0
245,1.0185916357881302,1.118376197371213,6.1149703175532215,1.9884098706980504e+33,24.41502173748009,5.482419901699799e+35,1.7,0.0    d0
117,120.94184125553129,120.30461494268154,2585.3727779302058,1.9884098706980504e+33,1.079429295522195,4.925185068388344e+33,1.7,0.0    d0
141,110.34610091918832,109.96489289204467,2294.2352146658905,1.9884098706980504e+33,1.1460749543087985,5.536571311434776e+33,1.7,0.0    d0
132,115.02127737251276,113.98557806222097,2405.667045724737,1.9884098706980504e+33,1.1189631594926883,5.296897262682496e+33,1.7,0.0    d0
113,122.45779208848155,121.92752637205484,2632.475225949675,1.9884098706980504e+33,1.069829453090228,4.830684698306579e+33,1.7,0.0    d0
227,4.949718730157945,5.347313760971667,46.78806805169396,1.9884098706980504e+33,8.602511866840308,1.026814296998654e+35,1.7,0.0    d0
36,0.1432394487827058,0.1797126670761992,0.5776741228853762,1.9884098706980504e+33,82.60314811375835,3.35668848309736e+36,1.7,0.0    d0
58,0.0954929658551372,0.1181631788578488,0.3377047685642839,1.9884098706980504e+33,109.24316687761257,4.914838472683159e+36,1.7,0.0    d0
198,70.81599192873882,69.34535549114361,1265.5236884639917,1.9884098706980504e+33,1.5584904292213193,8.735877806534918e+33,1.7,0.0    d0
122,119.00412982338744,118.23711247437949,2525.915945148707,1.9884098706980504e+33,1.0919762232619326,5.0465087462526006e+33,1.7,0.0    d0
188,80.23398568620173,79.56907922632024,1504.3568435179918,1.9884098706980504e+33,1.4219560407486436,7.908851474315205e+33,1.7,0.0    d0
259,0.4456338406573069,0.5228505407720613,2.2851134953778605,1.9884098706980504e+33,40.531936272141344,1.1937176582225916e+36,1.7,0.0    d0
146,108.07416410655154,107.53745660034704,2227.551870441211,1.9884098706980504e+33,1.1632575637124656,5.691696560326209e+33,1.7,0.0    d0
192,76.89968962842653,75.78973653935755,1414.2390279401288,1.9884098706980504e+33,1.4688432796500406,8.231666046096298e+33,1.7,0.0    d0
147,107.60067815085314,107.03077749502214,2213.6768065345304,1.9884098706980504e+33,1.1669258808084668,5.725418130426971e+33,1.7,0.0    d0
219,22.88250194303725,23.15440336041217,319.38985012883046,1.9884098706980504e+33,3.2381229081960905,1.8995522487717729e+34,1.7,0.0    d0
96,129.72719411420388,128.50449601831275,2827.071130069593,1.9884098706980504e+33,1.0330075849270326,4.458447997736002e+33,1.7,0.0    d0
